Price,Description,Location,Area,No_rooms,No_bathrooms,City,Category,Price/m2
300,2+1 APARTMENT FOR RENT IN ILIRIA BEACH!!,,95.0,2,1,Durrës,Rent,3.1578947368421053
350,APARTMENT 1+1 FOR RENT,,90.0,1,1,Vlorë,Rent,3.888888888888889
78200,1+1 APARTMENT FOR SALE IN MAL TE ROBIT!,,68.0,1,1,Durrës,Sale,1150.0
78200,1+1 APARTMENT FOR SALE IN MAL TE ROBIT!,,68.0,1,1,Durrës,Sale,1150.0
600,1+1 APARTMENT FOR RENT MUNICIPALITY OF PARIS!,Kompleksi Kika 1,70.0,1,1,Tirana,Rent,8.571428571428571
1200,SUPER APARTMENT FOR RENT 2+1+2 NEAR THE BOTANICAL GARDEN!,,125.0,2,2,Tirana,Rent,9.6
310000,"APARTMENT 3+1+2 FOR SALE IN ""DRY LAKE""!",Liqeni i Thate,180.0,3,2,Tirana,Sale,1722.2222222222222
700,APARTMENT 2 +1+2 FOR RENT NEAR THE MUNICIPALITY OF PARIS,,97.0,2,2,Tirana,Rent,7.216494845360825
1250,2+1 apartment for rent at LICEU,Rruga Themistokli Germenji,120.0,2,2,Tirana,Rent,10.416666666666666
155000,APARTMENT 1+1 WITH VERANDA FOR SALE AT THE LURA 5 RESIDENCE!,Gjiri i Lalezit,75.0,1,1,Durrës,Sale,2066.6666666666665
1500,FOR RENT 2+1+ PARKING SPACE ON KOSOVAREVE STREET.,"Rruga Marko Boçari, Tirana",105.0,2,2,Tirana,Rent,14.285714285714286
550,2+1 FOR RENT NEAR RR. THE ELBASANS.,"Xhamia e Tabakëve, Tirana",58.0,2,1,Tirana,Rent,9.482758620689655
1500,FOR RENT 3+2 + PARKING AT 'TIRANA GARDEN BUILDING',,135.0,3,2,Tirana,Rent,11.11111111111111
1000,1+1 apartment for rent in Block!!,"Blloku, Ambasada Kosovare",68.0,1,1,Tirana,Rent,14.705882352941176
600,APARTMENT 1+1+PARKING NEAR PAZARI NEW!,Pazari I ri,68.0,1,1,Tirana,Rent,8.823529411764707
320,"1+1 APARTMENT FOR RENT, ASTIR!",,60.0,1,1,Tirana,Rent,5.333333333333333
105000,1+1 apartment for sale near Lulishta in the Municipality of Paris!,Komuna e Parisit,63.0,1,1,Tirana,Sale,1666.6666666666667
157000,"1+1 APARTMENT FOR SALE, MUNICIPALITY OF PARIS",,79.0,1,1,Tirana,Sale,1987.3417721518988
400,"2+1+2T APARTMENT FOR RENT, NEAR THE POLYCLINIC, DURRES!!",,117.0,2,2,Durrës,Rent,3.4188034188034186
85000,2+1 APARTMENT FOR SALE IN DURRES!,,80.0,2,1,Durrës,Sale,1062.5
300,APARTMENT FOR RENT 2+1+2 IN TUFINE!,Rruga Teki Selenica,90.0,2,2,Tirana,Rent,3.3333333333333335
75000,1+1 APARTMENT FOR SALE IN NEW STREET,,80.0,1,1,Vlorë,Sale,937.5
120000,SUPER APARTMENT 2+1+2 AT THE ENTRANCE OF VLORA,,140.0,2,2,Vlorë,Sale,857.1428571428571
84000,1+1 APARTMENT FOR SALE IN FRESK,PRANE ANA MARKET,78.0,1,1,Tirana,Sale,1076.923076923077
1100,APARTMENT 2+1+2 WITH PARKING POST AT GARDA!,,120.0,2,2,Tirana,Rent,9.166666666666666
120000,APARTMENT 1+1 FOR SALE NEAR THE DRY LAKE!,Rruga Liqeni i Thate,75.0,1,1,Tirana,Sale,1600.0
900,Japim me qira apartament 2+1 + post parkimi te Kompleksi Delijorgji !,Kompleksi Delijorgji,123.0,2,2,Tirana,Rent,7.317073170731708
400,2+1 apartment at Cabej Buildings!,"Rruga Besim Alla, Pallatet Cabej",95.0,2,1,Tirana,Rent,4.2105263157894735
190000,Apartment for sale 2+1+2 at Profarma!,,129.0,2,2,Tirana,Sale,1472.8682170542636
145000,"LURA 1, APARTMENT FOR SALE 2+1!",,54.0,2,1,Durrës,Sale,2685.185185185185
250000,"DRY LAKE, LUXURY APARTMENT FOR SALE 2+1+2!",Rruga Peti,116.0,2,1,Tirana,Sale,2155.1724137931033
41177,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,63.0,1,1,Durrës,Sale,653.6031746031746
39240,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,60.0,1,1,Durrës,Sale,654.0
45844,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,71.0,1,1,Durrës,Sale,645.6901408450705
1200,"APARTMENT FOR RENT 2+1 + PARKING SPACE IN THE FZ COMPLEX, DRY LAKE!",Kompleksi FZ,100.0,2,1,Tirana,Rent,12.0
170000,"APARTMENT FOR SALE 2+1+2 IN ""MINE PEZA"" STREET",,102.0,2,2,Tirana,Sale,1666.6666666666667
430,APARTMENT FOR RENT 2+1+2 ON THE BEACH NEAR THE PALACE!,,104.0,2,1,Durrës,Rent,4.134615384615385
350,1+1 APARTMENT FOR RENT + MALI ROBIT PARKING POST!,,65.0,1,1,Durrës,Rent,5.384615384615385
400,1+1 apartment for rent until December 21!,,80.0,1,1,Tirana,Rent,5.0
400,ME QIRA APARTAMENT 2+1 NE NJE VILE 3-KATESHE NE DON BOSKO!!,Rruga Don Bosko,103.0,2,1,Tirana,Rent,3.883495145631068
250,1+1 APARTMENT FOR RENT IN HEKURUDHA BEACH!,,75.0,1,1,Durrës,Rent,3.3333333333333335
300,1+1 APARTMENT FOR RENT IN ILIRIA BEACH!!,,60.0,1,1,Durrës,Rent,5.0
128000,"Myslym Shyri Street, 2+1 apartment for sale!",Myslym Shyri,72.0,2,1,Tirana,Sale,1777.7777777777778
305000,"APARTMENT FOR SALE 2+1+2+PARKING SPACE AT LAKE VIEW RESIDENCE, AT TIRANA ARTIFICIAL LAKE",,122.0,2,2,Tirana,Sale,2500.0
460,APARTMENT FOR RENT 2+1 IN ASTIR,,90.0,2,1,Tirana,Rent,5.111111111111111
400,APARTMENT 1+1+PARKING SPACE ON BARRICADE STREET!,Rruga Isa Boletini,75.0,1,1,Tirana,Rent,5.333333333333333
470,2+1 APARTMENT FOR RENT AT KLENSI RESIDENCE IN ASTIR!,,88.0,2,1,Tirana,Rent,5.340909090909091
74500,1+1 APARTMENT FOR SALE IN MAL TE ROBIT!,,62.0,1,1,Durrës,Sale,1201.6129032258063
78000,1+1 APARTMENT FOR SALE IN MAL TE ROBIT!,,63.0,1,1,Durrës,Sale,1238.095238095238
78000,1+1 APARTMENT FOR SALE IN MAL TE ROBIT!,,63.0,1,1,Durrës,Sale,1238.095238095238
78000,1+1 APARTMENT FOR SALE IN MAL TE ROBIT!,,63.0,1,1,Durrës,Sale,1238.095238095238
120000,2+1 APARTMENT FOR SALE IN DURRES VOLLGA!,Vollga,80.0,2,1,Durrës,Sale,1500.0
78000,1+1 APARTMENT FOR SALE IN MAL TE ROBIT!,,63.0,1,1,Durrës,Sale,1238.095238095238
900,"BLV. ZOGU I PARE, JEPET ME QERA APARTAMENT PER ZYRA 2+1",,111.0,2,2,Tirana,Rent,8.108108108108109
93000,"SHITET APARTAMENT 1+1, NE ASTIR!!!",,85.0,1,1,Tirana,Sale,1094.1176470588234
59000,2+1+2 APARTMENT FOR SALE IN SCOTLAND!!,,85.0,2,2,Durrës,Sale,694.1176470588235
300,"1+1 APARTMENT FOR RENT, IN LUNGOMARE!",,66.0,1,1,Vlorë,Rent,4.545454545454546
550,2+1 apartment for rent at ASL residence,Kompleksi ASL Zirkon,109.0,2,1,Tirana,Rent,5.045871559633028
110000,"1+1 apartment for sale, Zirkon Residence, Oxhaku",,66.0,1,1,Tirana,Sale,1666.6666666666667
130000,APARTMENT FOR SALE 2+1 IN THE AURA COMPLEX IN LAPRAKE!,Rruga Dritan Hoxha,104.0,2,1,Tirana,Sale,1250.0
500,2+1 apartment for rent in Lungomare.,Lungomare,105.0,2,2,Vlorë,Rent,4.761904761904762
85000,"SUPER APARTMENT 1+1 FOR SALE ON THE BEACH, NEAR ADRIATIC HOTEL!!",,60.0,1,1,Durrës,Sale,1416.6666666666667
900,OFFICE FOR RENT IN THE BLOCK,Rruga Ismail Qemali,125.0,3,2,Tirana,Rent,7.2
230,1+1 APARTMENT FOR RENT IN GOLEM!,,64.0,1,1,Durrës,Rent,3.59375
170000,Apartament 2+1+2 Tek Corner Residence!,Bulevardi Gjergj Fishta,105.0,2,2,Tirana,Sale,1619.047619047619
450,EXCLUSIVE / 1+1 APARTMENT FOR RENT AT LIQENI I THATË,,63.0,1,1,Tirana,Rent,7.142857142857143
1500,Apartment 2+1+Parking Post At Joy Residences!,"Joy Residences, Lunder",113.0,2,1,Tirana,Rent,13.274336283185841
1200,Apartment 2+1+Parking Post At Joy Residences!,"Joy Residences, Lunder",90.0,2,1,Tirana,Rent,13.333333333333334
2000,Apartment 2+1+2+Parking Post At Joy Residences!,"Joy Residences, Lunder",138.0,2,2,Tirana,Rent,14.492753623188406
350,FLOOR VILLA FOR RENT (SUITE) IN LAPRAKE.,"Rruga Migjeni, Tirana",115.0,1,1,Tirana,Rent,3.0434782608695654
125000,1+1 APARTMENT FOR SALE NEAR THE DRY LAKE!,,65.0,1,1,Tirana,Sale,1923.076923076923
186000,APARTMENT 3+1+2 IN DON BOSCO!,,131.0,3,2,Tirana,Sale,1419.8473282442749
120000,2+1+2 APARTMENT FOR SALE IN ASTIR!,,113.0,2,2,Tirana,Sale,1061.9469026548672
248060,APARTMENT FOR SALE 1+1 IN A NEW BUILDING NEAR LSI!,Rr. Moskat,75.0,1,1,Tirana,Sale,3307.4666666666667
334158,APARTMENT FOR SALE 2+1+2 IN A NEW BUILDING NEAR LSI!,Rr. Moskat,101.0,2,2,Tirana,Sale,3308.4950495049507
69000,"KAMEZ, 2+1 APARTMENT FOR SALE","Kamez, Tirane",104.0,2,1,Tirana,Sale,663.4615384615385
1150,Liburna Residence; Apartment 1+1,,72.0,1,1,Durrës,Rent,15.972222222222221
1150,"Apartment near the sea, Golem",,57.0,1,1,Durrës,Rent,20.17543859649123
650,2+1 apartment for rent in Selvia.,,99.0,2,1,Tirana,Rent,6.565656565656566
450,"Kodra e Diellit, 1+1 Apartment for Rent!",Kodra e Diellit,80.0,1,1,Tirana,Rent,5.625
85000,1+1 APARTMENT FOR SALE AT BRYLI!,,56.0,1,1,Tirana,Sale,1517.857142857143
1000,LUXURY APARTMENT FOR RENT ON KOSOVARI STREET!,,75.0,1,1,Tirana,Rent,13.333333333333334
500,APARTMENT 1+1 FOR RENT NEAR PAZARI NEW!,,92.0,1,1,Tirana,Rent,5.434782608695652
500,APARTMENT 1+1 FOR RENT + PARKING SPACE AT NEW MATERNITY!,,73.0,1,1,Tirana,Rent,6.8493150684931505
86000,1+1 apartment for sale in Golden Park 3,,72.0,1,1,Tirana,Sale,1194.4444444444443
1000,MODERN APARTMENT 2+1+2 FOR RENT AT THE ALBA RESIDENCE!,ish Fusha e Aviacionit,104.0,2,2,Tirana,Rent,9.615384615384615
300,APARTMENT FOR RENT 2+1+2 FIRST FLOOR OF THE VILLA,Rruga Llazar Shapatini,120.0,2,1,Tirana,Rent,2.5
135000,"Apartment 2+1 For Sale Complex Contact, December 21!",Kompleksi Kontakt,79.0,2,1,Tirana,Sale,1708.860759493671
450000,SALE DUPLEX 3+2+1 IN THE FORMER BLOCK,"Rruga Sami Frasheri, Tirane",171.0,3,2,Tirana,Sale,2631.5789473684213
500,"APARTMENT 1+1 FOR RENT, DIBRES STREET",,93.0,1,1,Tirana,Rent,5.376344086021505
300,"1+1 APARTMENT FOR RENT ON THE BEACH, DURRES",,60.0,1,1,Durrës,Rent,5.0
300,"1+1 APARTMENT FOR RENT ON THE BEACH, DURRES",,64.0,1,1,Durrës,Rent,4.6875
600,"2+1 APARTMENT FOR RENT, ""MINE PEZA"" STREET, TIRANA!",,87.0,2,1,Tirana,Rent,6.896551724137931
55000,"1+1 APARTMENT FOR SALE, NEAR PORCELANI, TIRANA!",,55.0,1,1,Tirana,Sale,1000.0
106000,"For sale, Apartment 2+1, Yzberisht, Tirana",prane Big Market,86.0,2,1,Tirana,Sale,1232.5581395348838
155000,2+1 APARTMENT FOR SALE IN RAKURUDHA BEACH IN EKA COMPLEX!,,114.0,2,2,Durrës,Sale,1359.6491228070176
202000,APARTMENT FOR SALE 2+1+2 WITH SEA VIEW IN VOLLGA!,,135.0,2,2,Durrës,Sale,1496.2962962962963
1000,"Rruga e Kosovarve, 2+1+2 furnished apartment for rent",Rruga e Kosovareve,97.0,2,2,Tirana,Rent,10.309278350515465
160000,APARTMENT FOR SALE 3+1+2 IN SELVIA!,,117.0,3,2,Tirana,Sale,1367.5213675213674
300,APARTMENT FOR RENT 2+1+2 IN THE MALAYSIAN COMPLEX,Komp. Malaizjan,90.0,2,2,Tirana,Rent,3.3333333333333335
400,One-bedroom apartment for rent in Garden Residence Turdiu !!!,Garden Residence Turdiu,60.0,1,1,Tirana,Rent,6.666666666666667
600,1+1 APARTMENT FOR RENT IN KIKA 2 COMPLEX!,Kompleksi Kika 2,53.0,1,1,Tirana,Rent,11.320754716981131
160000,APARTMENT FOR SALE 3+1+2 TOTALLY INVESTED IN ASTIR,Astiri,132.0,3,2,Tirana,Sale,1212.121212121212
200000,APARTMENT FOR SALE 2+1+2 PLUS A PARKING POST AT THE NEW RING SIMA-COM COMPLEX,,113.0,2,2,Tirana,Sale,1769.9115044247787
500,"VILLA FOR RENT IN THE AREA OF SAUK RI, TIRANA!",,78.0,2,1,Tirana,Rent,6.410256410256411
56000,Studio for sale in Brryli,,37.0,1,1,Tirana,Sale,1513.5135135135135
600,"RING CENTER, 2+1 APARTMENT FOR RENT",,93.0,2,2,Tirana,Rent,6.451612903225806
1350,"APARTMENT FOR RENT 2+1+PARKING SPACE, NEAR RR. OF KOSOVARI!","Rruga Marko Bocari ,prane Nobis",106.0,2,1,Tirana,Rent,12.735849056603774
99700,APARTMENT FOR SALE 3+1+2 IN FRESKU!,,117.0,3,2,Tirana,Sale,852.1367521367522
129000,APARTMENT FOR SALE 3+1+2 IN FRESKU!,,144.0,3,2,Tirana,Sale,895.8333333333334
167000,SALE DUPLEX PENTHOUSE 3+1 WITH VERANDA NEAR FRESKU!,Fresk,222.0,3,2,Tirana,Sale,752.2522522522522
820,Apartment for rent at the train station.,Ish Stacioni i Trenit.,118.0,3,1,Tirana,Rent,6.9491525423728815
95000,FOR SALE 1+1 NEAR THE HYGIENE INSTITUTE!,Prane Institutit te Higjenes,51.0,1,1,Tirana,Sale,1862.7450980392157
280000,Apartment + 2 Parkings at Lake Dry.,Liqeni i Thate.,125.0,3,2,Tirana,Sale,2240.0
500,"APARTMENT 3+2+1+PARKING SPACE FOR RENT, SELITA, TIRANA!",,104.0,3,2,Tirana,Rent,4.8076923076923075
320,"APARTMENT 1+1 FOR RENT IN GOLEM, NEAR THE BEACH!",Golem,75.0,1,1,Durrës,Rent,4.266666666666667
400,"2+1 APARTMENT FOR RENT, MANGALEM COMPLEX, ALI DEM, TIRANA! THE APARTMENT WILL BE FURNISHED ON SEPTEMBER 20!",,85.0,2,1,Tirana,Rent,4.705882352941177
240000,APARTMENT 2+1+2 AT VASIL SHANTO!,"Vasil Shanto, ish-UET",127.0,2,2,Tirana,Sale,1889.763779527559
155000,"Luxury apartment for sale, furnished!!",Shkolla e Kuqe,74.0,1,1,Tirana,Sale,2094.5945945945946
200000,SUN HILL RESIDENCE. APARTMENT 2+1 WITH YARD,Kodra e diellit,100.0,2,2,Tirana,Sale,2000.0
1000,Park Life Residence. Apartment 2+1+Parking For Rent,Park Life residence,84.0,2,1,Tirana,Rent,11.904761904761905
300,APARTMENT 1+1 FOR RENT IN POPLA,,72.0,1,1,Durrës,Rent,4.166666666666667
200,APARTMENT FOR RENT 1+1 NEAR SKEMBI KAVAJES,,60.0,1,1,Durrës,Rent,3.3333333333333335
46000,SHITET APARTAMENT 1+1 NE PLAZH,,65.0,1,1,Durrës,Sale,707.6923076923077
38500,1+1 APARTMENT FOR SALE IN DURRES!,,56.0,1,1,Durrës,Sale,687.5
800,"BLV. ZOGU I PARE, JAPIM ME QIRA APARTAMENT 3+1",Blv. Zogu i Pare,150.0,3,2,Tirana,Rent,5.333333333333333
650,"APARTAMENT 2+1 +2 ME QERA PER ZYRA NE KOMUNE TE PARISIT TEK ""REZIDENCA OLYMPIC""",,94.0,2,2,Tirana,Rent,6.914893617021277
360000,"IN THE BLOCK, APARTMENT 2+1+2+ PARKING POST FOR SALE!",Pjeter Bogdani,138.0,2,2,Tirana,Sale,2608.695652173913
700,Apartament 2+1 per qera te Komuna e Parisit,,100.0,2,2,Tirana,Rent,7.0
400,2+1 for rent,"gjimnazi ""Gjergj Kastrioti""",116.0,2,1,Durrës,Rent,3.4482758620689653
320000,"2+1+2 Green Terrace apartment for sale, Lake Thate",,172.0,2,2,Tirana,Sale,1860.4651162790697
600,1+1 apartment for rent in the center of Shallvaret,,55.0,1,1,Tirana,Rent,10.909090909090908
45292,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,70.0,1,1,Durrës,Sale,647.0285714285715
47703,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,73.0,1,1,Durrës,Sale,653.4657534246576
47703,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,73.0,1,1,Durrës,Sale,653.4657534246576
49166,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,76.0,1,1,Durrës,Sale,646.921052631579
47703,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,73.0,1,1,Durrës,Sale,653.4657534246576
47229,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,73.0,1,1,Durrës,Sale,646.972602739726
47911,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,74.0,1,1,Durrës,Sale,647.4459459459459
47229,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,73.0,1,1,Durrës,Sale,646.972602739726
450,APARTMENT 1+1 BR FOR RENT NEAR THE MUNICIPALITY OF PARIS,,60.0,1,1,Tirana,Rent,7.5
70000,1+1 APARTMENT FOR SALE AT VILLA ZOGUT!,,76.0,1,1,Durrës,Sale,921.0526315789474
1200,"APARTMENT FOR RENT 2+1 + PARKING POST, FORMER BLOCK!",,100.0,2,2,Tirana,Rent,12.0
310000,"LAKE VIEW, APARTMENT FOR SALE 2+1+2",,119.0,2,2,Tirana,Sale,2605.0420168067226
1300,"APARTMENT FOR RENT 3+1+2 WITH 1 PARKING SPOT, NEAR TEGUT!",,169.0,3,2,Tirana,Rent,7.6923076923076925
91700,"1+1 APARTMENT FOR SALE, ISH FUSHA E AVIACIONIT!",,68.0,1,1,Tirana,Sale,1348.5294117647059
370,2+1 APARTMENT FOR RENT IN ASTIR!,,80.0,2,1,Tirana,Rent,4.625
550,APARTMENT FOR SALE 2+1+2 WITH SEA VIEW NEAR NEW PORT STREET!!!,Rruga e re e Portit,114.0,2,2,Durrës,Rent,4.824561403508772
150000,SUPER APARTMENT 2+1 IN SIRI KODRA!,Rezidenca SIRI 2,93.0,2,1,Tirana,Sale,1612.9032258064517
170000,2+1 APARTMENT FOR SALE IN PORTO LALZI,,101.0,2,1,Durrës,Sale,1683.1683168316831
850,"APARTMENT 1+1+ PARKING SPACE FOR RENT, SOFIA TEG RESIDENCE!",,80.0,1,1,Tirana,Rent,10.625
